Accession,Organism_Name,Submitters,Organization,Org_location,Release_Date,Isolate,Species,Length,Geo_Location,Region,Collection_Date
MN921624.1,dengue virus type I,"Su,W., Jiang,L., Cao,Y.","Guangzhou Center for Disease Control and Prevention, Derpartment of Virology and Immunity",China,15/01/2020,19XN51094*,Orthoflavivirus denguei,1625,China,Guangdong,12/10/2019
MN921625.1,dengue virus type I,"Su,W., Jiang,L., Cao,Y.","Guangzhou Center for Disease Control and Prevention, Derpartment of Virology and Immunity",China,15/01/2020,19XN51099*,Orthoflavivirus denguei,1625,China,Guangdong,07/10/2019
MN921626.1,dengue virus type I,"Su,W., Jiang,L., Cao,Y.","Guangzhou Center for Disease Control and Prevention, Derpartment of Virology and Immunity",China,15/01/2020,19XN51112*,Orthoflavivirus denguei,1625,China,Guangdong,18/10/2019
MN921627.1,dengue virus type I,"Su,W., Jiang,L., Cao,Y.","Guangzhou Center for Disease Control and Prevention, Derpartment of Virology and Immunity",China,15/01/2020,19XN51113*,Orthoflavivirus denguei,1625,China,Guangdong,14/10/2019
MN921628.1,dengue virus type I,"Su,W., Jiang,L., Cao,Y.","Guangzhou Center for Disease Control and Prevention, Derpartment of Virology and Immunity",China,15/01/2020,19XN51115,Orthoflavivirus denguei,1625,China,Guangdong,13/10/2019
MN921629.1,dengue virus type I,"Su,W., Jiang,L., Cao,Y.","Guangzhou Center for Disease Control and Prevention, Derpartment of Virology and Immunity",China,15/01/2020,19XN51116*,Orthoflavivirus denguei,1625,China,Guangdong,16/10/2019
MN921630.1,dengue virus type I,"Su,W., Jiang,L., Cao,Y.","Guangzhou Center for Disease Control and Prevention, Derpartment of Virology and Immunity",China,15/01/2020,19XN51117*,Orthoflavivirus denguei,1625,China,Guangdong,14/10/2019
MN921631.1,dengue virus type I,"Su,W., Jiang,L., Cao,Y.","Guangzhou Center for Disease Control and Prevention, Derpartment of Virology and Immunity",China,15/01/2020,19XN51119*,Orthoflavivirus denguei,1625,China,Guangdong,15/10/2019
MN921632.1,dengue virus type I,"Su,W., Jiang,L., Cao,Y.","Guangzhou Center for Disease Control and Prevention, Derpartment of Virology and Immunity",China,15/01/2020,19XN51125,Orthoflavivirus denguei,1154,China,Guangdong,19/10/2019
MN921633.1,dengue virus type I,"Su,W., Jiang,L., Cao,Y.","Guangzhou Center for Disease Control and Prevention, Derpartment of Virology and Immunity",China,15/01/2020,19XN51127*,Orthoflavivirus denguei,1625,China,Guangdong,16/10/2019
MN921634.1,dengue virus type I,"Su,W., Jiang,L., Cao,Y.","Guangzhou Center for Disease Control and Prevention, Derpartment of Virology and Immunity",China,15/01/2020,19XN51129*,Orthoflavivirus denguei,1625,China,Guangdong,18/10/2019
MN921635.1,dengue virus type I,"Su,W., Jiang,L., Cao,Y.","Guangzhou Center for Disease Control and Prevention, Derpartment of Virology and Immunity",China,15/01/2020,19XN51162*,Orthoflavivirus denguei,1625,China,Guangdong,25/10/2019
MN921636.1,dengue virus type I,"Su,W., Jiang,L., Cao,Y.","Guangzhou Center for Disease Control and Prevention, Derpartment of Virology and Immunity",China,15/01/2020,19XN51164,Orthoflavivirus denguei,1625,China,Guangdong,26/10/2019
MN921637.1,dengue virus type I,"Su,W., Jiang,L., Cao,Y.","Guangzhou Center for Disease Control and Prevention, Derpartment of Virology and Immunity",China,15/01/2020,19XN51178*,Orthoflavivirus denguei,1625,China,Guangdong,02/11/2019
MN921638.1,dengue virus type I,"Su,W., Jiang,L., Cao,Y.","Guangzhou Center for Disease Control and Prevention, Derpartment of Virology and Immunity",China,15/01/2020,19XN51179*,Orthoflavivirus denguei,1625,China,Guangdong,02/11/2019
MN921639.1,dengue virus type I,"Su,W., Jiang,L., Cao,Y.","Guangzhou Center for Disease Control and Prevention, Derpartment of Virology and Immunity",China,15/01/2020,19XN51180,Orthoflavivirus denguei,1625,China,Guangdong,01/11/2019
MN921640.1,dengue virus type I,"Su,W., Jiang,L., Cao,Y.","Guangzhou Center for Disease Control and Prevention, Derpartment of Virology and Immunity",China,15/01/2020,19XN51184,Orthoflavivirus denguei,1625,China,Guangdong,04/11/2019
MN921641.1,dengue virus type I,"Su,W., Jiang,L., Cao,Y.","Guangzhou Center for Disease Control and Prevention, Derpartment of Virology and Immunity",China,15/01/2020,19XN51197*,Orthoflavivirus denguei,1617,China,Guangdong,08/11/2019
MN921642.1,dengue virus type I,"Su,W., Jiang,L., Cao,Y.","Guangzhou Center for Disease Control and Prevention, Derpartment of Virology and Immunity",China,15/01/2020,19XN51201,Orthoflavivirus denguei,1625,China,Guangdong,05/11/2019
MN921643.1,dengue virus type I,"Su,W., Jiang,L., Cao,Y.","Guangzhou Center for Disease Control and Prevention, Derpartment of Virology and Immunity",China,15/01/2020,19XN51206,Orthoflavivirus denguei,1205,China,Guangdong,15/11/2019
MN921644.1,dengue virus type I,"Su,W., Jiang,L., Cao,Y.","Guangzhou Center for Disease Control and Prevention, Derpartment of Virology and Immunity",China,15/01/2020,19XN51209*,Orthoflavivirus denguei,1548,China,Guangdong,16/11/2019
MN922033.1,Dengue virus type 3,"Su,W., Jiang,L., Cao,Y.","Guangzhou Center for Disease Control and Prevention, Derpartment of Virology and Immunity",China,15/01/2020,19XN13542,Orthoflavivirus denguei,10656,China,Guangdong,10/06/2019
MN922034.1,Dengue virus type 3,"Su,W., Jiang,L., Cao,Y.","Guangzhou Center for Disease Control and Prevention, Derpartment of Virology and Immunity",China,15/01/2020,19XN14065,Orthoflavivirus denguei,10606,China,Guangdong,07/06/2019
MN922035.1,Dengue virus type 3,"Su,W., Jiang,L., Cao,Y.","Guangzhou Center for Disease Control and Prevention, Derpartment of Virology and Immunity",China,15/01/2020,19XN15780,Orthoflavivirus denguei,10654,China,Guangdong,23/06/2019
MN922036.1,Dengue virus type 3,"Su,W., Jiang,L., Cao,Y.","Guangzhou Center for Disease Control and Prevention, Derpartment of Virology and Immunity",China,15/01/2020,19XN18047,Orthoflavivirus denguei,10645,China,Guangdong,17/07/2019
MN922037.1,Dengue virus type 3,"Su,W., Jiang,L., Cao,Y.","Guangzhou Center for Disease Control and Prevention, Derpartment of Virology and Immunity",China,15/01/2020,19XN19964,Orthoflavivirus denguei,10654,China,Guangdong,02/08/2019
MN922038.1,Dengue virus type 3,"Su,W., Jiang,L., Cao,Y.","Guangzhou Center for Disease Control and Prevention, Derpartment of Virology and Immunity",China,15/01/2020,19XN22882,Orthoflavivirus denguei,10654,China,Guangdong,13/09/2019
MN922039.1,Dengue virus type 3,"Su,W., Jiang,L., Cao,Y.","Guangzhou Center for Disease Control and Prevention, Derpartment of Virology and Immunity",China,15/01/2020,19XN50670,Orthoflavivirus denguei,10660,China,Guangdong,30/07/2019
MN922040.1,Dengue virus type 3,"Su,W., Jiang,L., Cao,Y.","Guangzhou Center for Disease Control and Prevention, Derpartment of Virology and Immunity",China,15/01/2020,19XN50674,Orthoflavivirus denguei,10657,China,Guangdong,03/08/2019
MN922041.1,Dengue virus type 3,"Su,W., Jiang,L., Cao,Y.","Guangzhou Center for Disease Control and Prevention, Derpartment of Virology and Immunity",China,15/01/2020,19XN50685,Orthoflavivirus denguei,10656,China,Guangdong,08/08/2019
MG523189.1,dengue virus type I,"Lin,Y., Wen,S.J., Ma,D.H., Sun,Q.M.","Institute of Medical Biology, Chinese Academy of Medical Sciences, Joint Laboratory of Molecular Epidemiology",China,31/12/2019,1708052,Orthoflavivirus denguei,2322,China: Xi Shuang Ban Na,Yunnan,2017-08
MG523190.1,dengue virus type I,"Lin,Y., Wen,S.J., Ma,D.H., Sun,Q.M.","Institute of Medical Biology, Chinese Academy of Medical Sciences, Joint Laboratory of Molecular Epidemiology",China,31/12/2019,1708053,Orthoflavivirus denguei,2322,China: Xi Shuang Ban Na,Yunnan,2017-08
MG523191.1,dengue virus type I,"Lin,Y., Wen,S.J., Ma,D.H., Sun,Q.M.","Institute of Medical Biology, Chinese Academy of Medical Sciences, Joint Laboratory of Molecular Epidemiology",China,31/12/2019,1708057,Orthoflavivirus denguei,2322,China: Xi Shuang Ban Na,Yunnan,2017-08
MG523192.1,dengue virus type I,"Lin,Y., Wen,S.J., Ma,D.H., Sun,Q.M.","Institute of Medical Biology, Chinese Academy of Medical Sciences, Joint Laboratory of Molecular Epidemiology",China,31/12/2019,17082007,Orthoflavivirus denguei,2322,China: Xi Shuang Ban Na,Yunnan,2017-08
MG523193.1,dengue virus type I,"Lin,Y., Wen,S.J., Ma,D.H., Sun,Q.M.","Institute of Medical Biology, Chinese Academy of Medical Sciences, Joint Laboratory of Molecular Epidemiology",China,31/12/2019,17082521,Orthoflavivirus denguei,2322,China: Xi Shuang Ban Na,Yunnan,2017-08
MG523194.1,dengue virus type I,"Lin,Y., Wen,S.J., Ma,D.H., Sun,Q.M.","Institute of Medical Biology, Chinese Academy of Medical Sciences, Joint Laboratory of Molecular Epidemiology",China,31/12/2019,17082601,Orthoflavivirus denguei,2322,China: Xi Shuang Ban Na,Yunnan,2017-08
MG523195.1,dengue virus type I,"Lin,Y., Wen,S.J., Ma,D.H., Sun,Q.M.","Institute of Medical Biology, Chinese Academy of Medical Sciences, Joint Laboratory of Molecular Epidemiology",China,31/12/2019,17082602,Orthoflavivirus denguei,2322,China: Xi Shuang Ban Na,Yunnan,2017-08
MG523196.1,dengue virus type I,"Lin,Y., Wen,S.J., Ma,D.H., Sun,Q.M.","Institute of Medical Biology, Chinese Academy of Medical Sciences, Joint Laboratory of Molecular Epidemiology",China,31/12/2019,17082603,Orthoflavivirus denguei,2322,China: Xi Shuang Ban Na,Yunnan,2017-08
MG523197.1,dengue virus type I,"Lin,Y., Wen,S.J., Ma,D.H., Sun,Q.M.","Institute of Medical Biology, Chinese Academy of Medical Sciences, Joint Laboratory of Molecular Epidemiology",China,31/12/2019,17082604,Orthoflavivirus denguei,2322,China: Xi Shuang Ban Na,Yunnan,2017-08
MG523198.1,dengue virus type I,"Lin,Y., Wen,S.J., Ma,D.H., Sun,Q.M.","Institute of Medical Biology, Chinese Academy of Medical Sciences, Joint Laboratory of Molecular Epidemiology",China,31/12/2019,17082801,Orthoflavivirus denguei,2322,China: Xi Shuang Ban Na,Yunnan,2017-08
MG523200.1,dengue virus type I,"Lin,Y., Wen,S.J., Ma,D.H., Sun,Q.M.","Institute of Medical Biology, Chinese Academy of Medical Sciences, Joint Laboratory of Molecular Epidemiology",China,31/12/2019,17082901,Orthoflavivirus denguei,2322,China: Xi Shuang Ban Na,Yunnan,2017-08
MG523201.1,dengue virus type I,"Lin,Y., Wen,S.J., Ma,D.H., Sun,Q.M.","Institute of Medical Biology, Chinese Academy of Medical Sciences, Joint Laboratory of Molecular Epidemiology",China,31/12/2019,17082902,Orthoflavivirus denguei,2322,China: Xi Shuang Ban Na,Yunnan,2017-08
MG523202.1,dengue virus type I,"Lin,Y., Wen,S.J., Ma,D.H., Sun,Q.M.","Institute of Medical Biology, Chinese Academy of Medical Sciences, Joint Laboratory of Molecular Epidemiology",China,31/12/2019,17082905,Orthoflavivirus denguei,2322,China: Xi Shuang Ban Na,Yunnan,2017-08
MG523204.1,dengue virus type I,"Lin,Y., Wen,S.J., Ma,D.H., Sun,Q.M.","Institute of Medical Biology, Chinese Academy of Medical Sciences, Joint Laboratory of Molecular Epidemiology",China,31/12/2019,17083004,Orthoflavivirus denguei,2322,China: Xi Shuang Ban Na,Yunnan,2017-08
MG523205.1,dengue virus type I,"Lin,Y., Wen,S.J., Ma,D.H., Sun,Q.M.","Institute of Medical Biology, Chinese Academy of Medical Sciences, Joint Laboratory of Molecular Epidemiology",China,31/12/2019,17083005,Orthoflavivirus denguei,2322,China: Xi Shuang Ban Na,Yunnan,2017-08
MG523206.1,dengue virus type I,"Lin,Y., Wen,S.J., Ma,D.H., Sun,Q.M.","Institute of Medical Biology, Chinese Academy of Medical Sciences, Joint Laboratory of Molecular Epidemiology",China,31/12/2019,17083006,Orthoflavivirus denguei,2322,China: Xi Shuang Ban Na,Yunnan,2017-08
MG523207.1,dengue virus type I,"Lin,Y., Wen,S.J., Ma,D.H., Sun,Q.M.","Institute of Medical Biology, Chinese Academy of Medical Sciences, Joint Laboratory of Molecular Epidemiology",China,31/12/2019,17083007,Orthoflavivirus denguei,2322,China: Xi Shuang Ban Na,Yunnan,2017-08
MG523208.1,dengue virus type I,"Lin,Y., Wen,S.J., Ma,D.H., Sun,Q.M.","Institute of Medical Biology, Chinese Academy of Medical Sciences, Joint Laboratory of Molecular Epidemiology",China,31/12/2019,17083008,Orthoflavivirus denguei,2322,China: Xi Shuang Ban Na,Yunnan,2017-08
MG523209.1,dengue virus type I,"Lin,Y., Wen,S.J., Ma,D.H., Sun,Q.M.","Institute of Medical Biology, Chinese Academy of Medical Sciences, Joint Laboratory of Molecular Epidemiology",China,31/12/2019,17083011,Orthoflavivirus denguei,2322,China: Xi Shuang Ban Na,Yunnan,2017-08
MG523210.1,dengue virus type I,"Lin,Y., Wen,S.J., Ma,D.H., Sun,Q.M.","Institute of Medical Biology, Chinese Academy of Medical Sciences, Joint Laboratory of Molecular Epidemiology",China,31/12/2019,17083101,Orthoflavivirus denguei,2322,China: Xi Shuang Ban Na,Yunnan,2017-08
MG523211.1,dengue virus type I,"Lin,Y., Wen,S.J., Ma,D.H., Sun,Q.M.","Institute of Medical Biology, Chinese Academy of Medical Sciences, Joint Laboratory of Molecular Epidemiology",China,31/12/2019,17083102,Orthoflavivirus denguei,2322,China: Xi Shuang Ban Na,Yunnan,2017-08
MG523212.1,dengue virus type I,"Lin,Y., Wen,S.J., Ma,D.H., Sun,Q.M.","Institute of Medical Biology, Chinese Academy of Medical Sciences, Joint Laboratory of Molecular Epidemiology",China,31/12/2019,17083103,Orthoflavivirus denguei,2322,China: Xi Shuang Ban Na,Yunnan,2017-08
MG523213.1,dengue virus type I,"Lin,Y., Wen,S.J., Ma,D.H., Sun,Q.M.","Institute of Medical Biology, Chinese Academy of Medical Sciences, Joint Laboratory of Molecular Epidemiology",China,31/12/2019,17083605,Orthoflavivirus denguei,2322,China: Xi Shuang Ban Na,Yunnan,2017-08
MG523214.1,dengue virus type I,"Lin,Y., Wen,S.J., Ma,D.H., Sun,Q.M.","Institute of Medical Biology, Chinese Academy of Medical Sciences, Joint Laboratory of Molecular Epidemiology",China,31/12/2019,201708071,Orthoflavivirus denguei,2322,China: Xi Shuang Ban Na,Yunnan,2017-08
MG523215.1,dengue virus type I,"Lin,Y., Wen,S.J., Ma,D.H., Sun,Q.M.","Institute of Medical Biology, Chinese Academy of Medical Sciences, Joint Laboratory of Molecular Epidemiology",China,31/12/2019,201708072,Orthoflavivirus denguei,2322,China: Xi Shuang Ban Na,Yunnan,2017-08
MG523216.1,dengue virus type I,"Lin,Y., Wen,S.J., Ma,D.H., Sun,Q.M.","Institute of Medical Biology, Chinese Academy of Medical Sciences, Joint Laboratory of Molecular Epidemiology",China,31/12/2019,201708091,Orthoflavivirus denguei,2322,China: Xi Shuang Ban Na,Yunnan,2017-08
MG523217.1,dengue virus type I,"Lin,Y., Wen,S.J., Ma,D.H., Sun,Q.M.","Institute of Medical Biology, Chinese Academy of Medical Sciences, Joint Laboratory of Molecular Epidemiology",China,31/12/2019,201708092,Orthoflavivirus denguei,2322,China: Xi Shuang Ban Na,Yunnan,2017-08
MG523218.1,dengue virus type I,"Lin,Y., Wen,S.J., Ma,D.H., Sun,Q.M.","Institute of Medical Biology, Chinese Academy of Medical Sciences, Joint Laboratory of Molecular Epidemiology",China,31/12/2019,201708101,Orthoflavivirus denguei,2322,China: Xi Shuang Ban Na,Yunnan,2017-08
MG523219.1,dengue virus type I,"Lin,Y., Wen,S.J., Ma,D.H., Sun,Q.M.","Institute of Medical Biology, Chinese Academy of Medical Sciences, Joint Laboratory of Molecular Epidemiology",China,31/12/2019,2017081102,Orthoflavivirus denguei,2322,China: Xi Shuang Ban Na,Yunnan,2017-08
MG523220.1,dengue virus type I,"Lin,Y., Wen,S.J., Ma,D.H., Sun,Q.M.","Institute of Medical Biology, Chinese Academy of Medical Sciences, Joint Laboratory of Molecular Epidemiology",China,31/12/2019,2017081103,Orthoflavivirus denguei,2322,China: Xi Shuang Ban Na,Yunnan,2017-08
MG523221.1,dengue virus type I,"Lin,Y., Wen,S.J., Ma,D.H., Sun,Q.M.","Institute of Medical Biology, Chinese Academy of Medical Sciences, Joint Laboratory of Molecular Epidemiology",China,31/12/2019,2017081105,Orthoflavivirus denguei,2322,China: Xi Shuang Ban Na,Yunnan,2017-08
MG523222.1,dengue virus type I,"Lin,Y., Wen,S.J., Ma,D.H., Sun,Q.M.","Institute of Medical Biology, Chinese Academy of Medical Sciences, Joint Laboratory of Molecular Epidemiology",China,31/12/2019,2017081106,Orthoflavivirus denguei,2322,China: Xi Shuang Ban Na,Yunnan,2017-08
MG523223.1,dengue virus type I,"Lin,Y., Wen,S.J., Ma,D.H., Sun,Q.M.","Institute of Medical Biology, Chinese Academy of Medical Sciences, Joint Laboratory of Molecular Epidemiology",China,31/12/2019,2017081107,Orthoflavivirus denguei,2322,China: Xi Shuang Ban Na,Yunnan,2017-08
MG523224.1,dengue virus type I,"Lin,Y., Wen,S.J., Ma,D.H., Sun,Q.M.","Institute of Medical Biology, Chinese Academy of Medical Sciences, Joint Laboratory of Molecular Epidemiology",China,31/12/2019,2017081108,Orthoflavivirus denguei,2322,China: Xi Shuang Ban Na,Yunnan,2017-08
MG523225.1,dengue virus type I,"Lin,Y., Wen,S.J., Ma,D.H., Sun,Q.M.","Institute of Medical Biology, Chinese Academy of Medical Sciences, Joint Laboratory of Molecular Epidemiology",China,31/12/2019,2017081109,Orthoflavivirus denguei,2322,China: Xi Shuang Ban Na,Yunnan,2017-08
MG523226.1,dengue virus type I,"Lin,Y., Wen,S.J., Ma,D.H., Sun,Q.M.","Institute of Medical Biology, Chinese Academy of Medical Sciences, Joint Laboratory of Molecular Epidemiology",China,31/12/2019,2017081110,Orthoflavivirus denguei,2322,China: Xi Shuang Ban Na,Yunnan,2017-08
MG523227.1,dengue virus type I,"Lin,Y., Wen,S.J., Ma,D.H., Sun,Q.M.","Institute of Medical Biology, Chinese Academy of Medical Sciences, Joint Laboratory of Molecular Epidemiology",China,31/12/2019,2017081201,Orthoflavivirus denguei,2322,China: Xi Shuang Ban Na,Yunnan,2017-08
MG523228.1,dengue virus type I,"Lin,Y., Wen,S.J., Ma,D.H., Sun,Q.M.","Institute of Medical Biology, Chinese Academy of Medical Sciences, Joint Laboratory of Molecular Epidemiology",China,31/12/2019,2017081302,Orthoflavivirus denguei,2322,China: Xi Shuang Ban Na,Yunnan,2017-08
